ネコ日和。	고양이 일기	네코히요리
虹と太陽	무지개와 태양	니지와 태양
炭★坑★節	탄광절	탄코우부시
ハッピーシンセサイザ	해피신디사이저
ルカルカ★ナイトフィーバー	루카루카 나이트 피버	루카루카
源平大戦絵巻テーマソング	겐페이 대전 에마키 테마송	원평대전 테마송
美しく燃える森	아름답게 타오르는 숲	우츠쿠시쿠모에루모리
ウッーウッーウマウマ(ﾟ∀ﾟ)	우마우마	카라멜댄센
檄！帝国華撃団(改)	격 제국화격단	제국화격단 개
メランコリック	멜랑콜릭
教えて!! 魔法のLyric	가르쳐줘 마법의 리릭
ワールズエンド・ダンスホール	월드엔드댄스홀	월즈엔드댄스홀
パンダヒーロー	판다히어로
オレンジの夏	오렌지의 여름
BaBan!! －甘い罠－	바반 달콤한 함정
ジングルベル	징글벨
マトリョシカ	마트료시카
メグメグ☆ファイアーエンドレスナイト	메구메구
天国と地獄	천국과 지옥
きみのためなら死ねる	너를 위해서라면 죽을 수 있어
怪盗Rのテーマ	괴도 R 테마
マリアをはげませ	마리아를 응원해줘
おちゃめ機能	장난기 기능
ダンシング☆サムライ	댄싱 사무라이
ロミオとシンデレラ	로미오와 신데렐라
腐れ外道とチョコレゐト	썩은 외도와 초콜릿
ぴぴぱぷぅ！	삐삐파푸
炎歌 -ほむらうた-	호무라우타	염가
犬日和。	개 일기	이누히요리
ソーラン☆節	소란부시
デコボコ体操第二	데코보코 체조 제2
スイートマジック	스위트 매직
ゴーゴー幽霊船	고고 유령선
千本桜	천본벚꽃
御旗のもとに	미하타노모토니	깃발 아래에
地上の戦士	지상의 전사
超絶！Superlative	초절 슈퍼러티브
采配の刻 Power of order	사배의 순간	파워 오브 오더
泣き虫O'clock	울보 오클락
maimaiちゃんのテーマ	마이마이짱의 테마
＊ハロー、プラネット。	헬로 플래닛
イアイア★ナイトオブデザイア	이아이아 나이트 오브 디자이어
ローリンガール	롤링걸
天ノ弱	아마노자쿠	천성의 약함
弱虫モンブラン	약한 벌레 몽블랑
モザイクロール	모자이크 롤
脳漿炸裂ガール	뇌장작렬걸
セツナトリップ	세츠나 트립
放課後ストライド	방과후 스트라이드
カゲロウデイズ	카게로우 데이즈
チルノのパーフェクトさんすう教室	치르노의 퍼펙트 산수교실	치르노
魔理沙は大変なものを盗んでいきました	마리사는 엄청난 것을 훔쳐갔습니다	마리사
ナイト・オブ・ナイツ	나이트오브나이츠	나오나
全人類ノ非想天則	전인류의 비상천칙	비상천칙
しゅわスパ大作戦☆	슈와스파 대작전
時空を超えて久しぶり！	시공을 넘어 오랜만이야
ココロスキャンのうた	코코로 스캔 노래	코코로스캔의 노래
神室雪月花	카무로 설월화	신실 설월화
KONNANじゃないっ！	곤란한 거 아니야
記憶、記録	기억 기록
セガサターン起動音[H.][Remix]	세가 새턴 기동음 리믹스	세가 새턴 기동음
夜咄ディセイブ	요바나시 디세이브
ウサテイ	우사테이
ぐるぐるWASH！コインランドリー・ディスコ	빙글빙글 와시 코인런더리 디스코	코인런더리 디스코
火炎地獄	화염지옥
ユビキリ	유비키리	손가락걸기
ナミダと流星	눈물과 유성
おても☆Yan	오테모얀
maiム・maiム feat.週刊少年マガジン	마이무 마이무 feat 슈칸쇼넨 마가진
Backyun! －悪い女－	백큔 나쁜 여자
みんなのマイマイマー	모두의 마이미마
円舞曲、君に	원무곡 그대에게	왈츠 그대에게
Burning Hearts ～炎のANGEL～	버닝 하츠 불꽃의 엔젤
いーあるふぁんくらぶ	이얼 팬클럽	이얼팡클럽
ぽっぴっぽー	폿핏포
トルコ行進曲 - オワタ＼(^o^)／	터키행진곡 오와타
裏表ラバーズ	겉과 속 러버즈	우라오모테 러버즈
レッツゴー!陰陽師	렛츠고 음양사
炉心融解	로신융해
ダブルラリアット	더블 래리어트
からくりピエロ	카라쿠리 피에로
ネトゲ廃人シュプレヒコール	넷게임 폐인 슈프레히콜
むかしむかしのきょうのぼく	옛날옛적 오늘의 나
六兆年と一夜物語	육조년과 하룻밤 이야기
みくみくにしてあげる♪【してやんよ】	미쿠미쿠하게 해줄게
リリリリ★バーニングナイト	리리리리 버닝 나이트
ハロ／ハワユ	하로 하와유
緋色のDance	비색의 댄스
明星ロケット	새벽별 로켓	명성 로켓
お嫁にしなさいっ！	나와 결혼해줘
ロストワンの号哭	로스트 원의 호곡
患部で止まってすぐ溶ける～狂気の優曇華院	아픈 곳에서 멈추고 바로 녹는 광기의 우동게인	우동게인
ケロ⑨destiny	케로 9 데스티니
神々の祈り	신들의 기도
エピクロスの虹はもう見えない	에피쿠로스의 무지개는 이제 보이지 않아
シアワセうさぎ	행복한 토끼
ってゐ！ ～えいえんてゐVer～	떼이 영원한 떼이 버전
待チ人ハ来ズ。	기다리는 사람은 오지 않아
深海少女	심해소녀
東方スイーツ！～鬼畜姉妹と受難メイド～	동방 스위츠 귀축 자매와 수난 메이드	동방 스위츠
幻想のサテライト	환상의 새틀라이트
最速最高シャッターガール	최속최고 셔터걸
バラライカ	발랄라이카
林檎華憐歌	링고카렌카
コトバ・カラフル	코토바 컬러풀
タカハせ！名人マン	타카하세 명인맨
言ノ葉カルマ	코토노하 카르마
かせげ！ジャリンコヒーロー	카세게 자린코 히어로
キズナの物語	키즈나의 이야기
アゲアゲアゲイン	아게아게 어게인
鼓動	고동
二息歩行	이식보행
ファンタジーゾーン OPA-OPA! -GMT remix-	판타지 존 오파오파 지엠티 리믹스
電車で電車でGO!GO!GO!GC! -GMT remix-	전차로 전차로 고고고 지씨 지엠티 리믹스
リッジでリッジでGO!GO!GO! -GMT mashup-	릿지로 릿지로 고고고 지엠티 매시업
オパ! オパ! RACER -GMT mashup-	오파 오파 레이서 지엠티 매시업
電車で電車でOPA!OPA!OPA! -GMT mashup-	전차로 전차로 오파오파오파 지엠티 매시업
ピーマンたべたら	피망 먹으면
究極焼肉レストラン！お燐の地獄亭！	궁극 야키니쿠 레스토랑 오린의 지옥정
物凄い勢いでけーねが物凄いうた	엄청난 기세로 케네가 엄청난 노래
ガラテアの螺旋	갈라테아의 나선
アンハッピーリフレイン	언해피 리프레인
どうしてこうなった	어째서 이렇게 된거야
おこちゃま戦争	어린애 전쟁
きたさいたま2000	키타사이타마 2000
不毛！	불모
デッドレッドガールズ	데드 레드 걸즈
赤心性：カマトト荒療治	적심성 카마토토 혹독한 치료
悪戯	악장난
響縁	향연
クローバー♣クラブ	클로버 클럽
妄想税	망상세
どういうことなの！？	이게 무슨 일이야
初音ミクの消失	하츠네 미쿠의 소실
イノコリ先生	남은 사람 선생님
キャプテン・ムラサのケツアンカー	캡틴 무라사의 케츠앵커
